scenario,attacker_ip,first_observed_timestamp,first_attack_confirmed_timestamp,first_attack_confirmed_rate_pps,detection_delay_seconds,first_drop_timestamp,mitigation_delay_seconds,mitigation_deviation_from_target_seconds
ddos_unmitigated,10.0.0.1,2026-07-14 20:17:54.911697,2026-07-14 20:19:35.078569,25.0,100.166872,-,,
ddos_unmitigated,10.0.0.7,2026-07-14 20:18:03.906582,2026-07-14 20:19:40.961433,25.0,97.054851,-,,
ddos_unmitigated,10.0.0.13,2026-07-14 20:18:13.033387,2026-07-14 20:19:46.066169,25.0,93.032782,-,,
ddos_unmitigated,10.0.0.18,2026-07-14 20:18:22.161406,2026-07-14 20:19:50.686923,25.0,88.525517,-,,
ddos_mitigated,10.0.0.1,2026-07-14 20:26:16.705567,2026-07-14 20:28:20.282267,25.0,123.5767,2026-07-14 20:28:28.283085,8.000818,0.000818
ddos_mitigated,10.0.0.7,2026-07-14 20:26:27.609851,2026-07-14 20:28:25.136014,25.0,117.526163,2026-07-14 20:28:33.138597,8.002583,0.002583
ddos_mitigated,10.0.0.13,2026-07-14 20:26:34.705358,2026-07-14 20:28:29.139568,25.0,114.43421,2026-07-14 20:28:37.146283,8.006715,0.006715
ddos_mitigated,10.0.0.18,2026-07-14 20:26:39.823855,2026-07-14 20:28:33.374070,25.0,113.550215,2026-07-14 20:28:41.380534,8.006464,0.006464
