timestamp_window_end,src_ip,dst_ip,is_to_victim,packet_rate_ewma,packet_count_1s,byte_count_1s,avg_pkt_size,pkt_size_std,inter_arrival_std,label_hint,label
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.10,0,0.9,3,294,98.0,0.0,0.000882,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.7,0,0.9,3,294,98.0,0.0,0.000244,normal,0
2026-05-17 15:18:33.542,10.0.0.2,10.0.0.22,0,0.9,3,294,98.0,0.0,0.000622,normal,0
2026-05-17 15:18:33.542,10.0.0.2,10.0.0.23,0,0.9,3,294,98.0,0.0,0.000253,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.2,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.11,0,0.9,3,294,98.0,0.0,0.00144,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.4,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.8,0,0.9,3,294,98.0,0.0,0.001282,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.1,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.12,0,0.9,3,294,98.0,0.0,5.9e-05,normal,0
2026-05-17 15:18:33.542,10.0.0.2,10.0.0.21,0,0.9,3,294,98.0,0.0,4.5e-05,normal,0
2026-05-17 15:18:33.542,10.0.0.3,10.0.0.6,0,0.9,3,294,98.0,0.0,0.001417,normal,0
2026-05-17 15:18:33.542,10.0.0.2,10.0.0.20,0,0.9,3,294,98.0,0.0,0.002101,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.3,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.21,0,0.9,3,294,98.0,0.0,0.001599,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.14,0,0.9,3,294,98.0,0.0,0.000378,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.24,0,0.9,3,294,98.0,0.0,0.000456,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.22,0,0.9,3,294,98.0,0.0,0.000241,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.25,1,0.9,3,294,98.0,0.0,0.001567,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.7,0,0.9,3,294,98.0,0.0,0.001186,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.23,0,0.9,3,294,98.0,0.0,0.001307,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.2,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.15,0,0.9,3,294,98.0,0.0,0.000266,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.18,0,0.9,3,294,98.0,0.0,2.7e-05,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.1,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.6,0,0.9,3,294,98.0,0.0,0.000398,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.17,0,0.9,3,294,98.0,0.0,0.000258,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.13,0,0.9,3,294,98.0,0.0,0.000118,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.5,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:34.548,10.0.0.4,10.0.0.8,0,0.9,3,294,98.0,0.0,0.000603,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.20,0,0.9,3,294,98.0,0.0,0.000588,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.19,0,0.9,3,294,98.0,0.0,6.5e-05,normal,0
2026-05-17 15:18:34.548,10.0.0.3,10.0.0.16,0,0.9,3,294,98.0,0.0,0.001052,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.15,0,0.9,3,294,98.0,0.0,0.002922,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.23,0,0.9,3,294,98.0,0.0,0.000247,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.10,0,0.9,3,294,98.0,0.0,0.002742,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.18,0,0.9,3,294,98.0,0.0,0.000948,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.20,0,0.9,3,294,98.0,0.0,0.000544,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.19,0,0.9,3,294,98.0,0.0,0.000415,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.17,0,0.9,3,294,98.0,0.0,0.000334,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.13,0,0.9,3,294,98.0,0.0,0.001158,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.21,0,0.9,3,294,98.0,0.0,0.00102,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.11,0,0.9,3,294,98.0,0.0,0.000118,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.14,0,0.9,3,294,98.0,0.0,0.00136,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.12,0,0.9,3,294,98.0,0.0,8e-05,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.16,0,0.9,3,294,98.0,0.0,0.000552,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.22,0,0.9,3,294,98.0,0.0,9.4e-05,normal,0
2026-05-17 15:18:35.554,10.0.0.4,10.0.0.9,0,0.9,3,294,98.0,0.0,0.001739,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.3,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:36.560,10.0.0.4,10.0.0.25,1,0.9,3,294,98.0,0.0,0.000458,normal,0
2026-05-17 15:18:36.560,10.0.0.4,10.0.0.24,0,0.9,3,294,98.0,0.0,0.000153,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.15,0,0.9,3,294,98.0,0.0,0.001896,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.2,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.4,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.13,0,0.9,3,294,98.0,0.0,0.000554,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.10,0,0.9,3,294,98.0,0.0,6e-05,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.7,0,0.9,3,294,98.0,0.0,0.001003,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.17,0,0.9,3,294,98.0,0.0,0.004623,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.1,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.6,0,0.9,3,294,98.0,0.0,0.000686,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.11,0,0.9,3,294,98.0,0.0,0.001523,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.8,0,0.9,3,294,98.0,0.0,0.003963,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.14,0,0.9,3,294,98.0,0.0,0.000156,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.12,0,0.9,3,294,98.0,0.0,0.000204,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.16,0,0.9,3,294,98.0,0.0,0.000141,normal,0
2026-05-17 15:18:36.560,10.0.0.5,10.0.0.9,0,0.9,3,294,98.0,0.0,0.000789,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.10,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.7,0,0.3,1,98,98.0,0.0,0.0,normal,0
2026-05-17 15:18:37.569,10.0.0.5,10.0.0.25,1,0.9,3,294,98.0,0.0,0.000162,normal,0
2026-05-17 15:18:37.569,10.0.0.5,10.0.0.24,0,0.9,3,294,98.0,0.0,0.000417,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.1,0,0.9,3,294,98.0,0.0,0.003684,normal,0
2026-05-17 15:18:37.569,10.0.0.5,10.0.0.18,0,0.9,3,294,98.0,0.0,0.001474,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.5,0,0.9,3,294,98.0,0.0,0.005477,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.11,0,0.9,3,294,98.0,0.0,0.000643,normal,0
2026-05-17 15:18:37.569,10.0.0.6,10.0.0.8,0,0.3,1,98,98.0,0.0,0.0,normal,0
